[pTmin, pTmax]; [cosmin, cosmax]: data entries / mc entries

[25, 26]; [-1, -0.95]: 0 / 0
[25, 26]; [-0.95, -0.9]: 0 / 0
[25, 26]; [-0.9, -0.85]: 0 / 0
[25, 26]; [-0.85, -0.8]: 0 / 0
[25, 26]; [-0.8, -0.75]: 0 / 0
[25, 26]; [-0.75, -0.7]: 0 / 0
[25, 26]; [-0.7, -0.65]: 0 / 0
[25, 26]; [-0.65, -0.6]: 3937 / 798
[25, 26]; [-0.6, -0.55]: 25269 / 4870
[25, 26]; [-0.55, -0.5]: 49731 / 9554
[25, 26]; [-0.5, -0.45]: 61013 / 11498
[25, 26]; [-0.45, -0.4]: 62446 / 11944
[25, 26]; [-0.4, -0.35]: 63395 / 11783
[25, 26]; [-0.35, -0.3]: 62853 / 11722
[25, 26]; [-0.3, -0.25]: 62705 / 11620
[25, 26]; [-0.25, -0.2]: 63373 / 11596
[25, 26]; [-0.2, -0.15]: 63459 / 11756
[25, 26]; [-0.15, -0.1]: 64093 / 11894
[25, 26]; [-0.1, -0.05]: 63837 / 11760
[25, 26]; [-0.05, 0]: 64275 / 11794
[25, 26]; [0, 0.05]: 64422 / 11774
[25, 26]; [0.05, 0.1]: 64115 / 11687
[25, 26]; [0.1, 0.15]: 64284 / 11677
[25, 26]; [0.15, 0.2]: 63990 / 11635
[25, 26]; [0.2, 0.25]: 63554 / 11757
[25, 26]; [0.25, 0.3]: 63444 / 11637
[25, 26]; [0.3, 0.35]: 63143 / 11777
[25, 26]; [0.35, 0.4]: 62950 / 11769
[25, 26]; [0.4, 0.45]: 63051 / 11947
[25, 26]; [0.45, 0.5]: 61845 / 11594
[25, 26]; [0.5, 0.55]: 49997 / 9639
[25, 26]; [0.55, 0.6]: 25628 / 4956
[25, 26]; [0.6, 0.65]: 3947 / 765
[25, 26]; [0.65, 0.7]: 0 / 0
[25, 26]; [0.7, 0.75]: 0 / 0
[25, 26]; [0.75, 0.8]: 0 / 0
[25, 26]; [0.8, 0.85]: 0 / 0
[25, 26]; [0.85, 0.9]: 0 / 0
[25, 26]; [0.9, 0.95]: 0 / 0
[25, 26]; [0.95, 1]: 0 / 0

[26, 27]; [-1, -0.95]: 0 / 0
[26, 27]; [-0.95, -0.9]: 0 / 0
[26, 27]; [-0.9, -0.85]: 0 / 0
[26, 27]; [-0.85, -0.8]: 0 / 0
[26, 27]; [-0.8, -0.75]: 0 / 0
[26, 27]; [-0.75, -0.7]: 0 / 0
[26, 27]; [-0.7, -0.65]: 15 / 2
[26, 27]; [-0.65, -0.6]: 6933 / 1308
[26, 27]; [-0.6, -0.55]: 29867 / 5383
[26, 27]; [-0.55, -0.5]: 47288 / 8896
[26, 27]; [-0.5, -0.45]: 53286 / 9981
[26, 27]; [-0.45, -0.4]: 53615 / 10037
[26, 27]; [-0.4, -0.35]: 54230 / 10058
[26, 27]; [-0.35, -0.3]: 53811 / 9850
[26, 27]; [-0.3, -0.25]: 53777 / 9788
[26, 27]; [-0.25, -0.2]: 54073 / 9816
[26, 27]; [-0.2, -0.15]: 54799 / 9985
[26, 27]; [-0.15, -0.1]: 54278 / 9709
[26, 27]; [-0.1, -0.05]: 54180 / 9932
[26, 27]; [-0.05, 0]: 54269 / 9944
[26, 27]; [0, 0.05]: 54354 / 9895
[26, 27]; [0.05, 0.1]: 54483 / 10070
[26, 27]; [0.1, 0.15]: 54363 / 9775
[26, 27]; [0.15, 0.2]: 54473 / 9803
[26, 27]; [0.2, 0.25]: 54288 / 9790
[26, 27]; [0.25, 0.3]: 54134 / 9878
[26, 27]; [0.3, 0.35]: 54083 / 10098
[26, 27]; [0.35, 0.4]: 53350 / 9762
[26, 27]; [0.4, 0.45]: 53273 / 10125
[26, 27]; [0.45, 0.5]: 53206 / 10109
[26, 27]; [0.5, 0.55]: 47087 / 9072
[26, 27]; [0.55, 0.6]: 30167 / 5662
[26, 27]; [0.6, 0.65]: 7045 / 1288
[26, 27]; [0.65, 0.7]: 14 / 5
[26, 27]; [0.7, 0.75]: 0 / 0
[26, 27]; [0.75, 0.8]: 0 / 0
[26, 27]; [0.8, 0.85]: 0 / 0
[26, 27]; [0.85, 0.9]: 0 / 0
[26, 27]; [0.9, 0.95]: 0 / 0
[26, 27]; [0.95, 1]: 0 / 0

[27, 28]; [-1, -0.95]: 0 / 0
[27, 28]; [-0.95, -0.9]: 0 / 0
[27, 28]; [-0.9, -0.85]: 0 / 0
[27, 28]; [-0.85, -0.8]: 0 / 0
[27, 28]; [-0.8, -0.75]: 0 / 0
[27, 28]; [-0.75, -0.7]: 0 / 0
[27, 28]; [-0.7, -0.65]: 280 / 49
[27, 28]; [-0.65, -0.6]: 10015 / 1855
[27, 28]; [-0.6, -0.55]: 31277 / 5675
[27, 28]; [-0.55, -0.5]: 42724 / 7934
[27, 28]; [-0.5, -0.45]: 44988 / 8234
[27, 28]; [-0.45, -0.4]: 45432 / 8355
[27, 28]; [-0.4, -0.35]: 45215 / 8353
[27, 28]; [-0.35, -0.3]: 45665 / 8399
[27, 28]; [-0.3, -0.25]: 45693 / 8159
[27, 28]; [-0.25, -0.2]: 45866 / 8114
[27, 28]; [-0.2, -0.15]: 46334 / 8220
[27, 28]; [-0.15, -0.1]: 45949 / 8211
[27, 28]; [-0.1, -0.05]: 46327 / 8366
[27, 28]; [-0.05, 0]: 45895 / 8262
[27, 28]; [0, 0.05]: 46065 / 8144
[27, 28]; [0.05, 0.1]: 46374 / 8379
[27, 28]; [0.1, 0.15]: 46058 / 8365
[27, 28]; [0.15, 0.2]: 45987 / 8107
[27, 28]; [0.2, 0.25]: 45641 / 8264
[27, 28]; [0.25, 0.3]: 45448 / 8283
[27, 28]; [0.3, 0.35]: 45102 / 8422
[27, 28]; [0.35, 0.4]: 45263 / 8268
[27, 28]; [0.4, 0.45]: 45177 / 8409
[27, 28]; [0.45, 0.5]: 44995 / 8358
[27, 28]; [0.5, 0.55]: 42863 / 8093
[27, 28]; [0.55, 0.6]: 31502 / 6007
[27, 28]; [0.6, 0.65]: 10098 / 1876
[27, 28]; [0.65, 0.7]: 276 / 61
[27, 28]; [0.7, 0.75]: 0 / 0
[27, 28]; [0.75, 0.8]: 0 / 0
[27, 28]; [0.8, 0.85]: 0 / 0
[27, 28]; [0.85, 0.9]: 0 / 0
[27, 28]; [0.9, 0.95]: 0 / 0
[27, 28]; [0.95, 1]: 0 / 0

[28, 29]; [-1, -0.95]: 0 / 0
[28, 29]; [-0.95, -0.9]: 0 / 0
[28, 29]; [-0.9, -0.85]: 0 / 0
[28, 29]; [-0.85, -0.8]: 0 / 0
[28, 29]; [-0.8, -0.75]: 0 / 0
[28, 29]; [-0.75, -0.7]: 0 / 0
[28, 29]; [-0.7, -0.65]: 1001 / 186
[28, 29]; [-0.65, -0.6]: 13233 / 2517
[28, 29]; [-0.6, -0.55]: 30350 / 5614
[28, 29]; [-0.55, -0.5]: 37685 / 6837
[28, 29]; [-0.5, -0.45]: 38298 / 7036
[28, 29]; [-0.45, -0.4]: 38255 / 7023
[28, 29]; [-0.4, -0.35]: 38263 / 6896
[28, 29]; [-0.35, -0.3]: 38412 / 6720
[28, 29]; [-0.3, -0.25]: 38652 / 6769
[28, 29]; [-0.25, -0.2]: 38707 / 6823
[28, 29]; [-0.2, -0.15]: 38814 / 6767
[28, 29]; [-0.15, -0.1]: 39018 / 6913
[28, 29]; [-0.1, -0.05]: 39024 / 6943
[28, 29]; [-0.05, 0]: 39253 / 6886
[28, 29]; [0, 0.05]: 38941 / 6919
[28, 29]; [0.05, 0.1]: 39427 / 6796
[28, 29]; [0.1, 0.15]: 39358 / 6950
[28, 29]; [0.15, 0.2]: 39082 / 6942
[28, 29]; [0.2, 0.25]: 38865 / 6928
[28, 29]; [0.25, 0.3]: 39072 / 6957
[28, 29]; [0.3, 0.35]: 38043 / 6845
[28, 29]; [0.35, 0.4]: 38253 / 6993
[28, 29]; [0.4, 0.45]: 38276 / 7065
[28, 29]; [0.45, 0.5]: 38355 / 7096
[28, 29]; [0.5, 0.55]: 37707 / 7018
[28, 29]; [0.55, 0.6]: 30881 / 5575
[28, 29]; [0.6, 0.65]: 13437 / 2438
[28, 29]; [0.65, 0.7]: 958 / 183
[28, 29]; [0.7, 0.75]: 0 / 0
[28, 29]; [0.75, 0.8]: 0 / 0
[28, 29]; [0.8, 0.85]: 0 / 0
[28, 29]; [0.85, 0.9]: 0 / 0
[28, 29]; [0.9, 0.95]: 0 / 0
[28, 29]; [0.95, 1]: 0 / 0

[29, 30]; [-1, -0.95]: 0 / 0
[29, 30]; [-0.95, -0.9]: 0 / 0
[29, 30]; [-0.9, -0.85]: 0 / 0
[29, 30]; [-0.85, -0.8]: 0 / 0
[29, 30]; [-0.8, -0.75]: 0 / 0
[29, 30]; [-0.75, -0.7]: 0 / 0
[29, 30]; [-0.7, -0.65]: 2001 / 396
[29, 30]; [-0.65, -0.6]: 15362 / 2826
[29, 30]; [-0.6, -0.55]: 28841 / 5335
[29, 30]; [-0.55, -0.5]: 32266 / 5941
[29, 30]; [-0.5, -0.45]: 32432 / 6054
[29, 30]; [-0.45, -0.4]: 32262 / 5849
[29, 30]; [-0.4, -0.35]: 32682 / 5843
[29, 30]; [-0.35, -0.3]: 33060 / 5799
[29, 30]; [-0.3, -0.25]: 33031 / 5689
[29, 30]; [-0.25, -0.2]: 33106 / 5787
[29, 30]; [-0.2, -0.15]: 33151 / 5776
[29, 30]; [-0.15, -0.1]: 33291 / 5661
[29, 30]; [-0.1, -0.05]: 32924 / 5810
[29, 30]; [-0.05, 0]: 33523 / 5894
[29, 30]; [0, 0.05]: 33357 / 5692
[29, 30]; [0.05, 0.1]: 32928 / 5835
[29, 30]; [0.1, 0.15]: 33163 / 5937
[29, 30]; [0.15, 0.2]: 33010 / 5788
[29, 30]; [0.2, 0.25]: 33045 / 5749
[29, 30]; [0.25, 0.3]: 32920 / 5811
[29, 30]; [0.3, 0.35]: 32808 / 5802
[29, 30]; [0.35, 0.4]: 32683 / 5822
[29, 30]; [0.4, 0.45]: 32377 / 5775
[29, 30]; [0.45, 0.5]: 32810 / 5961
[29, 30]; [0.5, 0.55]: 32626 / 6027
[29, 30]; [0.55, 0.6]: 29083 / 5376
[29, 30]; [0.6, 0.65]: 15530 / 2820
[29, 30]; [0.65, 0.7]: 2040 / 374
[29, 30]; [0.7, 0.75]: 0 / 0
[29, 30]; [0.75, 0.8]: 0 / 0
[29, 30]; [0.8, 0.85]: 0 / 0
[29, 30]; [0.85, 0.9]: 0 / 0
[29, 30]; [0.9, 0.95]: 0 / 0
[29, 30]; [0.95, 1]: 0 / 0

[30, 31]; [-1, -0.95]: 0 / 0
[30, 31]; [-0.95, -0.9]: 0 / 0
[30, 31]; [-0.9, -0.85]: 0 / 0
[30, 31]; [-0.85, -0.8]: 0 / 0
[30, 31]; [-0.8, -0.75]: 0 / 0
[30, 31]; [-0.75, -0.7]: 0 / 0
[30, 31]; [-0.7, -0.65]: 3135 / 539
[30, 31]; [-0.65, -0.6]: 17111 / 2957
[30, 31]; [-0.6, -0.55]: 26213 / 4792
[30, 31]; [-0.55, -0.5]: 27879 / 5086
[30, 31]; [-0.5, -0.45]: 28007 / 5001
[30, 31]; [-0.45, -0.4]: 27931 / 4949
[30, 31]; [-0.4, -0.35]: 27761 / 4805
[30, 31]; [-0.35, -0.3]: 27973 / 4870
[30, 31]; [-0.3, -0.25]: 28218 / 4860
[30, 31]; [-0.25, -0.2]: 28167 / 4742
[30, 31]; [-0.2, -0.15]: 28502 / 5024
[30, 31]; [-0.15, -0.1]: 28388 / 4822
[30, 31]; [-0.1, -0.05]: 28390 / 4944
[30, 31]; [-0.05, 0]: 28281 / 4760
[30, 31]; [0, 0.05]: 28366 / 4853
[30, 31]; [0.05, 0.1]: 28585 / 4748
[30, 31]; [0.1, 0.15]: 28600 / 4903
[30, 31]; [0.15, 0.2]: 28360 / 4951
[30, 31]; [0.2, 0.25]: 28214 / 4768
[30, 31]; [0.25, 0.3]: 28247 / 4985
[30, 31]; [0.3, 0.35]: 27885 / 4862
[30, 31]; [0.35, 0.4]: 27992 / 4892
[30, 31]; [0.4, 0.45]: 27799 / 4950
[30, 31]; [0.45, 0.5]: 27783 / 5051
[30, 31]; [0.5, 0.55]: 28092 / 5059
[30, 31]; [0.55, 0.6]: 26505 / 4715
[30, 31]; [0.6, 0.65]: 17360 / 3147
[30, 31]; [0.65, 0.7]: 3300 / 605
[30, 31]; [0.7, 0.75]: 0 / 0
[30, 31]; [0.75, 0.8]: 0 / 0
[30, 31]; [0.8, 0.85]: 0 / 0
[30, 31]; [0.85, 0.9]: 0 / 0
[30, 31]; [0.9, 0.95]: 0 / 0
[30, 31]; [0.95, 1]: 0 / 0

[31, 32]; [-1, -0.95]: 0 / 0
[31, 32]; [-0.95, -0.9]: 0 / 0
[31, 32]; [-0.9, -0.85]: 0 / 0
[31, 32]; [-0.85, -0.8]: 0 / 0
[31, 32]; [-0.8, -0.75]: 0 / 0
[31, 32]; [-0.75, -0.7]: 12 / 2
[31, 32]; [-0.7, -0.65]: 4712 / 853
[31, 32]; [-0.65, -0.6]: 17739 / 2990
[31, 32]; [-0.6, -0.55]: 23444 / 4154
[31, 32]; [-0.55, -0.5]: 23595 / 4165
[31, 32]; [-0.5, -0.45]: 23941 / 4161
[31, 32]; [-0.45, -0.4]: 23815 / 4274
[31, 32]; [-0.4, -0.35]: 24041 / 4091
[31, 32]; [-0.35, -0.3]: 24149 / 4017
[31, 32]; [-0.3, -0.25]: 24387 / 4181
[31, 32]; [-0.25, -0.2]: 24601 / 4112
[31, 32]; [-0.2, -0.15]: 24439 / 4098
[31, 32]; [-0.15, -0.1]: 24321 / 4270
[31, 32]; [-0.1, -0.05]: 24477 / 4282
[31, 32]; [-0.05, 0]: 24539 / 4011
[31, 32]; [0, 0.05]: 24290 / 4150
[31, 32]; [0.05, 0.1]: 24306 / 4141
[31, 32]; [0.1, 0.15]: 24369 / 4136
[31, 32]; [0.15, 0.2]: 24579 / 4131
[31, 32]; [0.2, 0.25]: 24238 / 4063
[31, 32]; [0.25, 0.3]: 24397 / 4156
[31, 32]; [0.3, 0.35]: 24184 / 4068
[31, 32]; [0.35, 0.4]: 24339 / 4009
[31, 32]; [0.4, 0.45]: 23833 / 4220
[31, 32]; [0.45, 0.5]: 23903 / 4234
[31, 32]; [0.5, 0.55]: 23756 / 4259
[31, 32]; [0.55, 0.6]: 23307 / 4108
[31, 32]; [0.6, 0.65]: 17584 / 3177
[31, 32]; [0.65, 0.7]: 4774 / 877
[31, 32]; [0.7, 0.75]: 10 / 2
[31, 32]; [0.75, 0.8]: 0 / 0
[31, 32]; [0.8, 0.85]: 0 / 0
[31, 32]; [0.85, 0.9]: 0 / 0
[31, 32]; [0.9, 0.95]: 0 / 0
[31, 32]; [0.95, 1]: 0 / 0

[32, 33]; [-1, -0.95]: 0 / 0
[32, 33]; [-0.95, -0.9]: 0 / 0
[32, 33]; [-0.9, -0.85]: 0 / 0
[32, 33]; [-0.85, -0.8]: 0 / 0
[32, 33]; [-0.8, -0.75]: 0 / 0
[32, 33]; [-0.75, -0.7]: 106 / 23
[32, 33]; [-0.7, -0.65]: 6249 / 1021
[32, 33]; [-0.65, -0.6]: 16742 / 2914
[32, 33]; [-0.6, -0.55]: 20396 / 3478
[32, 33]; [-0.55, -0.5]: 20436 / 3460
[32, 33]; [-0.5, -0.45]: 20395 / 3524
[32, 33]; [-0.45, -0.4]: 20544 / 3543
[32, 33]; [-0.4, -0.35]: 20670 / 3488
[32, 33]; [-0.35, -0.3]: 21005 / 3606
[32, 33]; [-0.3, -0.25]: 20854 / 3600
[32, 33]; [-0.25, -0.2]: 20899 / 3423
[32, 33]; [-0.2, -0.15]: 21095 / 3516
[32, 33]; [-0.15, -0.1]: 20957 / 3606
[32, 33]; [-0.1, -0.05]: 20854 / 3427
[32, 33]; [-0.05, 0]: 21005 / 3528
[32, 33]; [0, 0.05]: 20923 / 3399
[32, 33]; [0.05, 0.1]: 21153 / 3559
[32, 33]; [0.1, 0.15]: 21092 / 3530
[32, 33]; [0.15, 0.2]: 21002 / 3381
[32, 33]; [0.2, 0.25]: 21127 / 3446
[32, 33]; [0.25, 0.3]: 20813 / 3468
[32, 33]; [0.3, 0.35]: 20886 / 3478
[32, 33]; [0.35, 0.4]: 20640 / 3536
[32, 33]; [0.4, 0.45]: 20510 / 3521
[32, 33]; [0.45, 0.5]: 20544 / 3558
[32, 33]; [0.5, 0.55]: 20493 / 3512
[32, 33]; [0.55, 0.6]: 20499 / 3631
[32, 33]; [0.6, 0.65]: 16961 / 2984
[32, 33]; [0.65, 0.7]: 6395 / 1080
[32, 33]; [0.7, 0.75]: 128 / 22
[32, 33]; [0.75, 0.8]: 0 / 0
[32, 33]; [0.8, 0.85]: 0 / 0
[32, 33]; [0.85, 0.9]: 0 / 0
[32, 33]; [0.9, 0.95]: 0 / 0
[32, 33]; [0.95, 1]: 0 / 0

[33, 34]; [-1, -0.95]: 0 / 0
[33, 34]; [-0.95, -0.9]: 0 / 0
[33, 34]; [-0.9, -0.85]: 0 / 0
[33, 34]; [-0.85, -0.8]: 0 / 0
[33, 34]; [-0.8, -0.75]: 0 / 0
[33, 34]; [-0.75, -0.7]: 378 / 65
[33, 34]; [-0.7, -0.65]: 7293 / 1223
[33, 34]; [-0.65, -0.6]: 15868 / 2739
[33, 34]; [-0.6, -0.55]: 17601 / 2982
[33, 34]; [-0.55, -0.5]: 17854 / 2996
[33, 34]; [-0.5, -0.45]: 17716 / 3022
[33, 34]; [-0.45, -0.4]: 18140 / 2905
[33, 34]; [-0.4, -0.35]: 18113 / 2980
[33, 34]; [-0.35, -0.3]: 18049 / 2867
[33, 34]; [-0.3, -0.25]: 17948 / 2809
[33, 34]; [-0.25, -0.2]: 18360 / 2927
[33, 34]; [-0.2, -0.15]: 18331 / 2832
[33, 34]; [-0.15, -0.1]: 18115 / 2927
[33, 34]; [-0.1, -0.05]: 18175 / 3022
[33, 34]; [-0.05, 0]: 18011 / 2988
[33, 34]; [0, 0.05]: 18227 / 2943
[33, 34]; [0.05, 0.1]: 18017 / 2930
[33, 34]; [0.1, 0.15]: 18232 / 2908
[33, 34]; [0.15, 0.2]: 18140 / 2892
[33, 34]; [0.2, 0.25]: 18168 / 2981
[33, 34]; [0.25, 0.3]: 18316 / 2953
[33, 34]; [0.3, 0.35]: 18172 / 2895
[33, 34]; [0.35, 0.4]: 17901 / 3016
