[pTmin, pTmax]; [cosmin, cosmax]: data entries / mc entries

[25, 26]; [-1, -0.95]: 0 / 0
[25, 26]; [-0.95, -0.9]: 0 / 0
[25, 26]; [-0.9, -0.85]: 0 / 0
[25, 26]; [-0.85, -0.8]: 0 / 0
[25, 26]; [-0.8, -0.75]: 0 / 0
[25, 26]; [-0.75, -0.7]: 0 / 0
[25, 26]; [-0.7, -0.65]: 0 / 0
[25, 26]; [-0.65, -0.6]: 3240 / 798
[25, 26]; [-0.6, -0.55]: 20999 / 4870
[25, 26]; [-0.55, -0.5]: 41392 / 9554
[25, 26]; [-0.5, -0.45]: 50012 / 11498
[25, 26]; [-0.45, -0.4]: 50733 / 11944
[25, 26]; [-0.4, -0.35]: 50396 / 11783
[25, 26]; [-0.35, -0.3]: 50301 / 11722
[25, 26]; [-0.3, -0.25]: 49307 / 11620
[25, 26]; [-0.25, -0.2]: 49725 / 11596
[25, 26]; [-0.2, -0.15]: 49211 / 11756
[25, 26]; [-0.15, -0.1]: 49490 / 11894
[25, 26]; [-0.1, -0.05]: 49403 / 11760
[25, 26]; [-0.05, 0]: 49526 / 11794
[25, 26]; [0, 0.05]: 49307 / 11774
[25, 26]; [0.05, 0.1]: 49700 / 11687
[25, 26]; [0.1, 0.15]: 49434 / 11677
[25, 26]; [0.15, 0.2]: 50188 / 11635
[25, 26]; [0.2, 0.25]: 49671 / 11757
[25, 26]; [0.25, 0.3]: 49925 / 11637
[25, 26]; [0.3, 0.35]: 50268 / 11777
[25, 26]; [0.35, 0.4]: 50646 / 11769
[25, 26]; [0.4, 0.45]: 51108 / 11947
[25, 26]; [0.45, 0.5]: 50535 / 11594
[25, 26]; [0.5, 0.55]: 41375 / 9639
[25, 26]; [0.55, 0.6]: 21236 / 4956
[25, 26]; [0.6, 0.65]: 3356 / 765
[25, 26]; [0.65, 0.7]: 0 / 0
[25, 26]; [0.7, 0.75]: 0 / 0
[25, 26]; [0.75, 0.8]: 0 / 0
[25, 26]; [0.8, 0.85]: 0 / 0
[25, 26]; [0.85, 0.9]: 0 / 0
[25, 26]; [0.9, 0.95]: 0 / 0
[25, 26]; [0.95, 1]: 0 / 0

[26, 27]; [-1, -0.95]: 0 / 0
[26, 27]; [-0.95, -0.9]: 0 / 0
[26, 27]; [-0.9, -0.85]: 0 / 0
[26, 27]; [-0.85, -0.8]: 0 / 0
[26, 27]; [-0.8, -0.75]: 0 / 0
[26, 27]; [-0.75, -0.7]: 0 / 0
[26, 27]; [-0.7, -0.65]: 4 / 2
[26, 27]; [-0.65, -0.6]: 5608 / 1308
[26, 27]; [-0.6, -0.55]: 24134 / 5383
[26, 27]; [-0.55, -0.5]: 38259 / 8896
[26, 27]; [-0.5, -0.45]: 42830 / 9981
[26, 27]; [-0.45, -0.4]: 42054 / 10037
[26, 27]; [-0.4, -0.35]: 41700 / 10058
[26, 27]; [-0.35, -0.3]: 41395 / 9850
[26, 27]; [-0.3, -0.25]: 41208 / 9788
[26, 27]; [-0.25, -0.2]: 41275 / 9816
[26, 27]; [-0.2, -0.15]: 40483 / 9985
[26, 27]; [-0.15, -0.1]: 40865 / 9709
[26, 27]; [-0.1, -0.05]: 40626 / 9932
[26, 27]; [-0.05, 0]: 40505 / 9944
[26, 27]; [0, 0.05]: 40884 / 9895
[26, 27]; [0.05, 0.1]: 41210 / 10070
[26, 27]; [0.1, 0.15]: 40874 / 9775
[26, 27]; [0.15, 0.2]: 41357 / 9803
[26, 27]; [0.2, 0.25]: 40691 / 9790
[26, 27]; [0.25, 0.3]: 41443 / 9878
[26, 27]; [0.3, 0.35]: 41294 / 10098
[26, 27]; [0.35, 0.4]: 41588 / 9762
[26, 27]; [0.4, 0.45]: 42034 / 10125
[26, 27]; [0.45, 0.5]: 42491 / 10109
[26, 27]; [0.5, 0.55]: 38535 / 9072
[26, 27]; [0.55, 0.6]: 24195 / 5662
[26, 27]; [0.6, 0.65]: 5587 / 1288
[26, 27]; [0.65, 0.7]: 9 / 5
[26, 27]; [0.7, 0.75]: 0 / 0
[26, 27]; [0.75, 0.8]: 0 / 0
[26, 27]; [0.8, 0.85]: 0 / 0
[26, 27]; [0.85, 0.9]: 0 / 0
[26, 27]; [0.9, 0.95]: 0 / 0
[26, 27]; [0.95, 1]: 0 / 0

[27, 28]; [-1, -0.95]: 0 / 0
[27, 28]; [-0.95, -0.9]: 0 / 0
[27, 28]; [-0.9, -0.85]: 0 / 0
[27, 28]; [-0.85, -0.8]: 0 / 0
[27, 28]; [-0.8, -0.75]: 0 / 0
[27, 28]; [-0.75, -0.7]: 0 / 0
[27, 28]; [-0.7, -0.65]: 191 / 49
[27, 28]; [-0.65, -0.6]: 7932 / 1855
[27, 28]; [-0.6, -0.55]: 24689 / 5675
[27, 28]; [-0.55, -0.5]: 33561 / 7934
[27, 28]; [-0.5, -0.45]: 34730 / 8234
[27, 28]; [-0.45, -0.4]: 34349 / 8355
[27, 28]; [-0.4, -0.35]: 34304 / 8353
[27, 28]; [-0.35, -0.3]: 33814 / 8399
[27, 28]; [-0.3, -0.25]: 33688 / 8159
[27, 28]; [-0.25, -0.2]: 33639 / 8114
[27, 28]; [-0.2, -0.15]: 33432 / 8220
[27, 28]; [-0.15, -0.1]: 33553 / 8211
[27, 28]; [-0.1, -0.05]: 33343 / 8366
[27, 28]; [-0.05, 0]: 33580 / 8262
[27, 28]; [0, 0.05]: 33518 / 8144
[27, 28]; [0.05, 0.1]: 33568 / 8379
[27, 28]; [0.1, 0.15]: 33370 / 8365
[27, 28]; [0.15, 0.2]: 33423 / 8107
[27, 28]; [0.2, 0.25]: 33770 / 8264
[27, 28]; [0.25, 0.3]: 33595 / 8283
[27, 28]; [0.3, 0.35]: 33996 / 8422
[27, 28]; [0.35, 0.4]: 34298 / 8268
[27, 28]; [0.4, 0.45]: 34605 / 8409
[27, 28]; [0.45, 0.5]: 35092 / 8358
[27, 28]; [0.5, 0.55]: 33882 / 8093
[27, 28]; [0.55, 0.6]: 24896 / 6007
[27, 28]; [0.6, 0.65]: 8032 / 1876
[27, 28]; [0.65, 0.7]: 204 / 61
[27, 28]; [0.7, 0.75]: 0 / 0
[27, 28]; [0.75, 0.8]: 0 / 0
[27, 28]; [0.8, 0.85]: 0 / 0
[27, 28]; [0.85, 0.9]: 0 / 0
[27, 28]; [0.9, 0.95]: 0 / 0
[27, 28]; [0.95, 1]: 0 / 0

[28, 29]; [-1, -0.95]: 0 / 0
[28, 29]; [-0.95, -0.9]: 0 / 0
[28, 29]; [-0.9, -0.85]: 0 / 0
[28, 29]; [-0.85, -0.8]: 0 / 0
[28, 29]; [-0.8, -0.75]: 0 / 0
[28, 29]; [-0.75, -0.7]: 0 / 0
[28, 29]; [-0.7, -0.65]: 769 / 186
[28, 29]; [-0.65, -0.6]: 10433 / 2517
[28, 29]; [-0.6, -0.55]: 23680 / 5614
[28, 29]; [-0.55, -0.5]: 28561 / 6837
[28, 29]; [-0.5, -0.45]: 28723 / 7036
[28, 29]; [-0.45, -0.4]: 28276 / 7023
[28, 29]; [-0.4, -0.35]: 28330 / 6896
[28, 29]; [-0.35, -0.3]: 27911 / 6720
[28, 29]; [-0.3, -0.25]: 27574 / 6769
[28, 29]; [-0.25, -0.2]: 27712 / 6823
[28, 29]; [-0.2, -0.15]: 27922 / 6767
[28, 29]; [-0.15, -0.1]: 27565 / 6913
[28, 29]; [-0.1, -0.05]: 27617 / 6943
[28, 29]; [-0.05, 0]: 27658 / 6886
[28, 29]; [0, 0.05]: 27487 / 6919
[28, 29]; [0.05, 0.1]: 27949 / 6796
[28, 29]; [0.1, 0.15]: 27514 / 6950
[28, 29]; [0.15, 0.2]: 27611 / 6942
[28, 29]; [0.2, 0.25]: 27612 / 6928
[28, 29]; [0.25, 0.3]: 28066 / 6957
[28, 29]; [0.3, 0.35]: 28190 / 6845
[28, 29]; [0.35, 0.4]: 28247 / 6993
[28, 29]; [0.4, 0.45]: 28465 / 7065
[28, 29]; [0.45, 0.5]: 28654 / 7096
[28, 29]; [0.5, 0.55]: 28972 / 7018
[28, 29]; [0.55, 0.6]: 23665 / 5575
[28, 29]; [0.6, 0.65]: 10144 / 2438
[28, 29]; [0.65, 0.7]: 735 / 183
[28, 29]; [0.7, 0.75]: 0 / 0
[28, 29]; [0.75, 0.8]: 0 / 0
[28, 29]; [0.8, 0.85]: 0 / 0
[28, 29]; [0.85, 0.9]: 0 / 0
[28, 29]; [0.9, 0.95]: 0 / 0
[28, 29]; [0.95, 1]: 0 / 0

[29, 30]; [-1, -0.95]: 0 / 0
[29, 30]; [-0.95, -0.9]: 0 / 0
[29, 30]; [-0.9, -0.85]: 0 / 0
[29, 30]; [-0.85, -0.8]: 0 / 0
[29, 30]; [-0.8, -0.75]: 0 / 0
[29, 30]; [-0.75, -0.7]: 0 / 0
[29, 30]; [-0.7, -0.65]: 1466 / 396
[29, 30]; [-0.65, -0.6]: 11903 / 2826
[29, 30]; [-0.6, -0.55]: 21583 / 5335
[29, 30]; [-0.55, -0.5]: 24304 / 5941
[29, 30]; [-0.5, -0.45]: 24006 / 6054
[29, 30]; [-0.45, -0.4]: 23636 / 5849
[29, 30]; [-0.4, -0.35]: 23194 / 5843
[29, 30]; [-0.35, -0.3]: 23224 / 5799
[29, 30]; [-0.3, -0.25]: 23097 / 5689
[29, 30]; [-0.25, -0.2]: 22915 / 5787
[29, 30]; [-0.2, -0.15]: 23082 / 5776
[29, 30]; [-0.15, -0.1]: 22774 / 5661
[29, 30]; [-0.1, -0.05]: 22884 / 5810
[29, 30]; [-0.05, 0]: 22882 / 5894
[29, 30]; [0, 0.05]: 23021 / 5692
[29, 30]; [0.05, 0.1]: 22948 / 5835
[29, 30]; [0.1, 0.15]: 22883 / 5937
[29, 30]; [0.15, 0.2]: 22919 / 5788
[29, 30]; [0.2, 0.25]: 23405 / 5749
[29, 30]; [0.25, 0.3]: 23110 / 5811
[29, 30]; [0.3, 0.35]: 23012 / 5802
[29, 30]; [0.35, 0.4]: 23319 / 5822
[29, 30]; [0.4, 0.45]: 23603 / 5775
[29, 30]; [0.45, 0.5]: 24264 / 5961
[29, 30]; [0.5, 0.55]: 24025 / 6027
[29, 30]; [0.55, 0.6]: 22017 / 5376
[29, 30]; [0.6, 0.65]: 11975 / 2820
[29, 30]; [0.65, 0.7]: 1505 / 374
[29, 30]; [0.7, 0.75]: 0 / 0
[29, 30]; [0.75, 0.8]: 0 / 0
[29, 30]; [0.8, 0.85]: 0 / 0
[29, 30]; [0.85, 0.9]: 0 / 0
[29, 30]; [0.9, 0.95]: 0 / 0
[29, 30]; [0.95, 1]: 0 / 0

[30, 31]; [-1, -0.95]: 0 / 0
[30, 31]; [-0.95, -0.9]: 0 / 0
[30, 31]; [-0.9, -0.85]: 0 / 0
[30, 31]; [-0.85, -0.8]: 0 / 0
[30, 31]; [-0.8, -0.75]: 0 / 0
[30, 31]; [-0.75, -0.7]: 0 / 0
[30, 31]; [-0.7, -0.65]: 2502 / 539
[30, 31]; [-0.65, -0.6]: 12671 / 2957
[30, 31]; [-0.6, -0.55]: 19416 / 4792
[30, 31]; [-0.55, -0.5]: 20292 / 5086
[30, 31]; [-0.5, -0.45]: 20184 / 5001
[30, 31]; [-0.45, -0.4]: 19836 / 4949
[30, 31]; [-0.4, -0.35]: 19456 / 4805
[30, 31]; [-0.35, -0.3]: 19512 / 4870
[30, 31]; [-0.3, -0.25]: 19249 / 4860
[30, 31]; [-0.25, -0.2]: 19294 / 4742
[30, 31]; [-0.2, -0.15]: 19297 / 5024
[30, 31]; [-0.15, -0.1]: 18979 / 4822
[30, 31]; [-0.1, -0.05]: 19113 / 4944
[30, 31]; [-0.05, 0]: 19347 / 4760
[30, 31]; [0, 0.05]: 18926 / 4853
[30, 31]; [0.05, 0.1]: 18933 / 4748
[30, 31]; [0.1, 0.15]: 19239 / 4903
[30, 31]; [0.15, 0.2]: 19203 / 4951
[30, 31]; [0.2, 0.25]: 19317 / 4768
[30, 31]; [0.25, 0.3]: 19699 / 4985
[30, 31]; [0.3, 0.35]: 19602 / 4862
[30, 31]; [0.35, 0.4]: 19626 / 4892
[30, 31]; [0.4, 0.45]: 19637 / 4950
[30, 31]; [0.45, 0.5]: 19961 / 5051
[30, 31]; [0.5, 0.55]: 20216 / 5059
[30, 31]; [0.55, 0.6]: 19622 / 4715
[30, 31]; [0.6, 0.65]: 12818 / 3147
[30, 31]; [0.65, 0.7]: 2402 / 605
[30, 31]; [0.7, 0.75]: 0 / 0
[30, 31]; [0.75, 0.8]: 0 / 0
[30, 31]; [0.8, 0.85]: 0 / 0
[30, 31]; [0.85, 0.9]: 0 / 0
[30, 31]; [0.9, 0.95]: 0 / 0
[30, 31]; [0.95, 1]: 0 / 0

[31, 32]; [-1, -0.95]: 0 / 0
[31, 32]; [-0.95, -0.9]: 0 / 0
[31, 32]; [-0.9, -0.85]: 0 / 0
[31, 32]; [-0.85, -0.8]: 0 / 0
[31, 32]; [-0.8, -0.75]: 0 / 0
[31, 32]; [-0.75, -0.7]: 7 / 2
[31, 32]; [-0.7, -0.65]: 3363 / 853
[31, 32]; [-0.65, -0.6]: 12810 / 2990
[31, 32]; [-0.6, -0.55]: 16930 / 4154
[31, 32]; [-0.55, -0.5]: 16962 / 4165
[31, 32]; [-0.5, -0.45]: 16759 / 4161
[31, 32]; [-0.45, -0.4]: 16421 / 4274
[31, 32]; [-0.4, -0.35]: 16415 / 4091
[31, 32]; [-0.35, -0.3]: 16367 / 4017
[31, 32]; [-0.3, -0.25]: 16137 / 4181
[31, 32]; [-0.25, -0.2]: 16036 / 4112
[31, 32]; [-0.2, -0.15]: 16197 / 4098
[31, 32]; [-0.15, -0.1]: 15984 / 4270
[31, 32]; [-0.1, -0.05]: 16039 / 4282
[31, 32]; [-0.05, 0]: 15922 / 4011
[31, 32]; [0, 0.05]: 16057 / 4150
[31, 32]; [0.05, 0.1]: 16069 / 4141
[31, 32]; [0.1, 0.15]: 16138 / 4136
[31, 32]; [0.15, 0.2]: 16180 / 4131
[31, 32]; [0.2, 0.25]: 15997 / 4063
[31, 32]; [0.25, 0.3]: 16441 / 4156
[31, 32]; [0.3, 0.35]: 16403 / 4068
[31, 32]; [0.35, 0.4]: 16234 / 4009
[31, 32]; [0.4, 0.45]: 16549 / 4220
[31, 32]; [0.45, 0.5]: 16772 / 4234
[31, 32]; [0.5, 0.55]: 17056 / 4259
[31, 32]; [0.55, 0.6]: 17058 / 4108
[31, 32]; [0.6, 0.65]: 12972 / 3177
[31, 32]; [0.65, 0.7]: 3519 / 877
[31, 32]; [0.7, 0.75]: 14 / 2
[31, 32]; [0.75, 0.8]: 0 / 0
[31, 32]; [0.8, 0.85]: 0 / 0
[31, 32]; [0.85, 0.9]: 0 / 0
[31, 32]; [0.9, 0.95]: 0 / 0
[31, 32]; [0.95, 1]: 0 / 0

[32, 33]; [-1, -0.95]: 0 / 0
[32, 33]; [-0.95, -0.9]: 0 / 0
[32, 33]; [-0.9, -0.85]: 0 / 0
[32, 33]; [-0.85, -0.8]: 0 / 0
[32, 33]; [-0.8, -0.75]: 0 / 0
[32, 33]; [-0.75, -0.7]: 110 / 23
[32, 33]; [-0.7, -0.65]: 4583 / 1021
[32, 33]; [-0.65, -0.6]: 12226 / 2914
[32, 33]; [-0.6, -0.55]: 14476 / 3478
[32, 33]; [-0.55, -0.5]: 14434 / 3460
[32, 33]; [-0.5, -0.45]: 14021 / 3524
[32, 33]; [-0.45, -0.4]: 14277 / 3543
[32, 33]; [-0.4, -0.35]: 13914 / 3488
[32, 33]; [-0.35, -0.3]: 13881 / 3606
[32, 33]; [-0.3, -0.25]: 13777 / 3600
[32, 33]; [-0.25, -0.2]: 13540 / 3423
[32, 33]; [-0.2, -0.15]: 13687 / 3516
[32, 33]; [-0.15, -0.1]: 13754 / 3606
[32, 33]; [-0.1, -0.05]: 13549 / 3427
[32, 33]; [-0.05, 0]: 13634 / 3528
[32, 33]; [0, 0.05]: 13344 / 3399
[32, 33]; [0.05, 0.1]: 13312 / 3559
[32, 33]; [0.1, 0.15]: 13446 / 3530
[32, 33]; [0.15, 0.2]: 13701 / 3381
[32, 33]; [0.2, 0.25]: 13736 / 3446
[32, 33]; [0.25, 0.3]: 13939 / 3468
[32, 33]; [0.3, 0.35]: 13845 / 3478
[32, 33]; [0.35, 0.4]: 13890 / 3536
[32, 33]; [0.4, 0.45]: 13959 / 3521
[32, 33]; [0.45, 0.5]: 14260 / 3558
[32, 33]; [0.5, 0.55]: 14413 / 3512
[32, 33]; [0.55, 0.6]: 14617 / 3631
[32, 33]; [0.6, 0.65]: 12304 / 2984
[32, 33]; [0.65, 0.7]: 4454 / 1080
[32, 33]; [0.7, 0.75]: 97 / 22
[32, 33]; [0.75, 0.8]: 0 / 0
[32, 33]; [0.8, 0.85]: 0 / 0
[32, 33]; [0.85, 0.9]: 0 / 0
[32, 33]; [0.9, 0.95]: 0 / 0
[32, 33]; [0.95, 1]: 0 / 0

[33, 34]; [-1, -0.95]: 0 / 0
[33, 34]; [-0.95, -0.9]: 0 / 0
[33, 34]; [-0.9, -0.85]: 0 / 0
[33, 34]; [-0.85, -0.8]: 0 / 0
[33, 34]; [-0.8, -0.75]: 0 / 0
[33, 34]; [-0.75, -0.7]: 243 / 65
[33, 34]; [-0.7, -0.65]: 5325 / 1223
[33, 34]; [-0.65, -0.6]: 11387 / 2739
[33, 34]; [-0.6, -0.55]: 12337 / 2982
[33, 34]; [-0.55, -0.5]: 12219 / 2996
[33, 34]; [-0.5, -0.45]: 12036 / 3022
[33, 34]; [-0.45, -0.4]: 11942 / 2905
[33, 34]; [-0.4, -0.35]: 11915 / 2980
[33, 34]; [-0.35, -0.3]: 11696 / 2867
[33, 34]; [-0.3, -0.25]: 11506 / 2809
[33, 34]; [-0.25, -0.2]: 11597 / 2927
[33, 34]; [-0.2, -0.15]: 11560 / 2832
[33, 34]; [-0.15, -0.1]: 11527 / 2927
[33, 34]; [-0.1, -0.05]: 11542 / 3022
[33, 34]; [-0.05, 0]: 11651 / 2988
[33, 34]; [0, 0.05]: 11538 / 2943
[33, 34]; [0.05, 0.1]: 11451 / 2930
[33, 34]; [0.1, 0.15]: 11529 / 2908
[33, 34]; [0.15, 0.2]: 11603 / 2892
[33, 34]; [0.2, 0.25]: 11655 / 2981
[33, 34]; [0.25, 0.3]: 11651 / 2953
[33, 34]; [0.3, 0.35]: 11752 / 2895
[33, 34]; [0.35, 0.4]: 11909 / 3016
